4119547.89904,550579.060558
4119547.4425,550579.335387
4119547.00055,550579.605989
4119546.54547,550579.878739
4119546.10063,550580.130578
4119545.61497,550580.422145
4119545.08634,550580.731123
4119544.62592,550581.005384
4119544.13049,550581.302185
4119543.60298,550581.613078
4119543.02938,550581.945987
4119542.44495,550582.324652
4119542.00866,550582.644904
4119541.56413,550582.980584
4119541.12524,550583.360296
4119540.75778,550583.782164
4119540.4374,550584.222824
4119540.15578,550584.712345
4119539.96387,550585.207683
4119539.8531,550585.726636
4119539.79774,550586.237862
4119539.80912,550586.744842
4119539.87017,550587.242502
4119540.02568,550588.040806
4119540.25214,550588.616729
4119540.47997,550589.235822
4119540.61105,550589.724189
4119540.76002,550590.204315
4119540.91427,550590.703188
4119541.12553,550591.395281
4119541.2983,550591.929237
4119541.47059,550592.474285
4119541.64573,550593.033068
4119541.83229,550593.61559
4119542.02688,550594.210041
4119542.49207,550595.311389
4119542.64156,550595.878016
4119542.8727,550596.525332
4119543.11189,550597.18783
4119543.34838,550597.86173
4119543.59456,550598.549324
4119543.92966,550599.479334
4119544.06003,550600.127405
4119544.29876,550600.835745
4119544.56109,550601.533297
4119544.75045,550601.997357
4119544.94185,550602.462144
4119545.14305,550602.926577
4119545.35474,550603.383109
4119545.68742,550604.063823
4119545.91536,550604.517152
4119546.27646,550605.158953
4119546.52779,550605.59558
4119546.78669,550606.030534
4119547.05462,550606.460998
4119547.33101,550606.884609
4119547.61662,550607.301806
4119547.91052,550607.715995
4119548.70844,550608.52285
4119549.03902,550608.917595
4119549.36945,550609.317813
4119549.71297,550609.711445
4119550.062,550610.099425
4119550.41365,550610.49079
4119550.75898,550610.879235
4119551.09835,550611.257958
4119551.59146,550611.805509
4119552.06987,550612.337179
4119552.54464,550612.84876
4119552.99708,550613.337112
4119553.43436,550613.79332
4119553.85666,550614.219748
4119554.26108,550614.623807
4119554.92121,550615.180703
4119555.41529,550615.550952
4119555.88991,550615.822688
4119556.42591,550616.060932
4119557.03966,550616.222849
4119557.58571,550616.289207
4119558.12027,550616.287762
4119558.64307,550616.238921
4119559.14775,550616.128527
4119559.70854,550615.941051
4119560.20522,550615.698805
4119560.68406,550615.381992
4119561.13936,550614.993604
4119561.54652,550614.532607
4119561.88747,550614.009015
4119562.12361,550613.550822
4119562.31368,550613.057565
4119562.46416,550612.407953
4119562.55046,550611.845526
4119562.63034,550611.262437
4119562.65381,550610.677469
4119562.63843,550610.088891
4119562.55054,550609.342528
4119562.40175,550608.768061
4119562.20565,550608.199795
4119561.9555,550607.651668
4119561.64387,550607.148124
4119561.3218,550606.602649
4119560.98614,550606.070267
4119560.64414,550605.530235
4119560.31504,550604.952418
4119560.05155,550604.521928
4119559.62364,550603.777761
